1,Street,St,3/21/2017 11:16,3/21/2017 11:16
2,Avenue,Av,3/21/2017 11:16,3/21/2017 11:16
3,Boulevard,Bvd,3/21/2017 11:16,3/21/2017 11:16
4,Court,Ct,3/21/2017 11:16,3/21/2017 11:16
5,Crescent,Cr,3/21/2017 11:16,3/21/2017 11:16
6,Drive,Dr,3/21/2017 11:16,3/21/2017 11:16
7,Esplanade,Esp,3/21/2017 11:16,3/21/2017 11:16
8,Grove,Gr,3/21/2017 11:16,3/21/2017 11:16
9,Highway,Hwy,3/21/2017 11:16,3/21/2017 11:16
10,Lane,Lane,3/21/2017 11:16,3/21/2017 11:16
11,Parade,Pde,3/21/2017 11:16,3/21/2017 11:16
12,Place,Pl,3/21/2017 11:16,3/21/2017 11:16
13,Road,Rd,3/21/2017 11:16,3/21/2017 11:16
14,Terrace,Tce,3/21/2017 11:16,3/21/2017 11:16
15,Way,Wy,3/21/2017 11:16,3/21/2017 11:16
16,Alleyway,Alwy,3/21/2017 11:16,3/21/2017 11:16
17,Arcade,Arc,3/21/2017 11:16,3/21/2017 11:16
18,Basin,Basn,3/21/2017 11:16,3/21/2017 11:16
20,Bend,Bend,3/21/2017 11:16,3/21/2017 11:16
22,Bridge,Bdge,3/21/2017 11:16,3/21/2017 11:16
23,Broadway,Bdwy,3/21/2017 11:16,3/21/2017 11:16
24,Bypass,Bypa,3/21/2017 11:16,3/21/2017 11:16
25,Byway,Bywy,3/21/2017 11:16,3/21/2017 11:16
26,Causeway,Caus,3/21/2017 11:16,3/21/2017 11:16
29,Centreway,Cnwy,3/21/2017 11:16,3/21/2017 11:16
30,Chase,Ch,3/21/2017 11:16,3/21/2017 11:16
31,Circle,Cir,3/21/2017 11:16,3/21/2017 11:16
32,Circuit,Cct,3/21/2017 11:16,3/21/2017 11:16
33,Close,Cl,3/21/2017 11:16,3/21/2017 11:16
34,Concourse,Con,3/21/2017 11:16,3/21/2017 11:16
35,Corner,Cnr,3/21/2017 11:16,3/21/2017 11:16
36,Courtyard,Ctyd,3/21/2017 11:16,3/21/2017 11:16
37,Cove,Cove,3/21/2017 11:16,3/21/2017 11:16
38,Crest,Crst,3/21/2017 11:16,3/21/2017 11:16
39,Cross,Crss,3/21/2017 11:16,3/21/2017 11:16
40,Crossing,Crsg,3/21/2017 11:16,3/21/2017 11:16
41,Crossroad,Crd,3/21/2017 11:16,3/21/2017 11:16
42,Crossway,Cowy,3/21/2017 11:16,3/21/2017 11:16
43,Cul-De-Sac,Cds,3/21/2017 11:16,3/21/2017 11:16
44,Deviation,Devn,3/21/2017 11:16,3/21/2017 11:16
45,Dip,Dip,3/21/2017 11:16,3/21/2017 11:16
46,Distributor,Dstr,3/21/2017 11:16,3/21/2017 11:16
47,Driveway,Drwy,3/21/2017 11:16,3/21/2017 11:16
48,Edge,Edge,3/21/2017 11:16,3/21/2017 11:16
49,Elbow,Elb,3/21/2017 11:16,3/21/2017 11:16
50,End,End,3/21/2017 11:16,3/21/2017 11:16
51,Entrance,Ent,3/21/2017 11:16,3/21/2017 11:16
53,Expressway,Exp,3/21/2017 11:16,3/21/2017 11:16
54,Extension,Ex,3/21/2017 11:16,3/21/2017 11:16
